kalam-ump, https://kalam.ump.edu.my, KALAM, 0, 0
ecomm-ump, https://community.ump.edu.my, ECOMM, 0, 1
or-ump, https://or.ump.edu.my, OR UMP, 0, 2
udas-ump, https://udas.ump.edu.my, UDAS, 0, 3
efind-ump, https://efind.ump.edu.my, EFind, 0, 4
code, code, VSCode, 0, 0
github, github, Github, 0, 1
project, https://studio.darwishzain.com/project, Other Project, 0, 0
github, https://github.com/darwishzain, More Code, 0, 3
donate, https://ko-fi.com/darwishzain, Donate, 0, 4
affiliate, https://darwishzain.com/link.php, Affiliate, 0, 5
